fecha	cp	minsplit	minbucket	maxdepth	xval_folds	ganancia	iteracion
20220517 224641	0.0549266344038188	46520	13520	14	5	0	1
20220517 224654	-0.0788060798964579	51336	15796	26	5	4879000	2
20220517 224707	-0.491956730865058	56769	6824	19	5	5746000	3
20220517 224724	-0.270564065632061	32150	4800	16	5	5746000	4
20220517 224734	-0.598247543926118	77756	23116	4	5	0	5
20220517 224746	-0.904639996278274	41801	19360	17	5	2516000	6
20220517 224756	-0.328621806218871	70987	34809	29	5	0	7
20220517 224811	-0.813512803337653	29557	2398	4	5	5746000	8
20220517 224823	-0.207705721266393	69888	9603	12	5	5746000	9
20220517 224835	-0.415087053316113	68587	18689	25	5	3046000	10
20220517 224847	-0.174613957868756	66621	5212	29	5	5746000	11
20220517 224900	-0.680840041252252	52259	9101	11	5	5746000	12
20220517 224922	-0.686141065182164	12125	2673	19	5	6986000	13
20220517 224933	-0.824665697372984	74703	33444	4	5	0	14
20220517 224949	-0.784903013985604	43252	1838	8	5	5746000	15
20220517 225005	-0.128017677995376	31612	9055	7	5	5746000	16
20220517 225027	-0.282027819479127	23625	2763	30	5	5746000	17
20220517 225051	-0.999750173956268	6751	3343	21	5	8106000	18
20220517 225105	-0.999945215654469	68264	3552	22	5	5746000	19
20220517 225129	-0.995760102270225	7872	3896	30	5	7460000	20
20220517 225200	-0.996919451338415	2290	1132	24	5	9693000	21
20220517 225256	-0.768101868778547	259	8	25	5	5666000	22
20220517 225325	-0.999589942372276	3298	1542	30	5	8788000	23
20220517 225355	-0.997342235074717	2369	1162	12	5	9613000	24
20220517 225426	-0.985897336730883	2333	1157	18	5	9621000	25
20220517 225457	-0.123286363706266	2163	1076	12	5	9987000	26
20220517 225528	-0.340211347708907	2206	1094	24	5	9918000	27
20220517 225546	-0.347894864718495	2078	1033	4	5	9516000	28
20220517 225601	0.0751405305505648	2220	1078	22	5	0	29
20220517 225636	-0.189141480863522	520	238	11	5	9237000	30
20220517 225719	-0.386359272564266	312	150	20	5	8064000	31
20220517 225734	-0.142131329442879	3682	1826	3	5	7887000	32
20220517 225831	-0.121830868298746	96	6	22	5	4187000	33
20220517 225857	-0.315078177400023	4691	2343	12	5	8533000	34
20220517 225928	-0.352434646238047	2475	1186	29	5	8997000	35
20220517 225959	-0.130434737764884	8048	7	11	5	7927000	36
20220517 230015	-0.457253227857941	2821	1393	3	5	7910000	37
20220517 230050	-0.114049205015828	48	12	10	5	9749000	38
20220517 230128	-0.936898556499677	37	7	11	5	9070000	39
20220517 230151	-0.351624504340643	7748	3853	25	5	7485000	40
20220517 230247	-0.32317291618663	38	12	24	5	2770000	41
20220517 230309	-0.26904049778886	12813	3390	25	5	7356000	42
20220517 230320	-0.435427253330469	66745	26003	19	5	0	43
20220517 230334	-0.755335407996146	75724	5931	7	5	5746000	44
20220517 230345	-0.279302157643215	68549	20724	25	5	836000	45
20220517 230405	-0.626816808527007	24814	3976	30	5	5746000	46
20220517 230418	-0.00519072884493399	36861	14253	3	5	5724000	47
20220517 230430	-0.161363718792247	62443	22690	27	5	0	48
20220517 230444	-0.784448918289155	74437	78	15	5	5746000	49
20220517 230457	-0.742733658890803	54275	20264	5	5	1499000	50
20220517 230513	-0.486277938168496	52175	1507	19	5	5746000	51
20220517 230535	-0.255199116748999	34960	823	24	5	5746000	52
20220517 230549	-0.368762073141357	61855	7513	14	5	5746000	53
20220517 230603	-0.250258437072941	77276	16317	16	5	4773000	54
20220517 230616	-0.97084218136941	46027	20324	14	5	1499000	55
20220517 230628	0.0165662670824787	62240	19727	28	5	0	56
20220517 230642	-0.791603128737571	63540	10206	27	5	5746000	57
20220517 230653	-0.983850840995695	78562	28397	8	5	0	58
20220517 230706	-0.408483800581609	71102	1929	5	5	5746000	59
20220517 230721	-0.981116170739185	44045	7931	10	5	5746000	60
20220517 230736	-0.733740296482845	53560	7341	8	5	5746000	61
20220517 230752	-0.179597454288498	40507	8288	6	5	5746000	62
20220517 230803	-0.0665325719763005	75591	36895	4	5	0	63
20220517 230814	-0.379914130821243	66040	29280	29	5	0	64
20220517 230826	-0.691536732072592	63711	23843	23	5	0	65
20220517 230842	-0.295156724114231	41694	4572	30	5	5746000	66
20220517 230853	-0.47224542181605	66080	25611	23	5	0	67
20220517 230921	-0.342397045906847	3494	1484	14	5	8704000	68
20220517 230951	-0.430383511688302	2740	1282	21	5	8704000	69
20220517 231005	-0.993514812787518	67032	12177	24	5	5908000	70
20220517 231019	-0.238663166383003	48220	15244	22	5	5e+06	71
20220517 231033	0.00847745442730496	58371	4062	21	5	0	72
20220517 231044	-0.153580810326375	64191	24927	4	5	0	73
20220517 231058	-0.0379319424602895	79980	4921	30	5	5746000	74
20220517 231110	-0.033163146227923	79055	19600	7	5	2081000	75
20220517 231127	-0.164604768979854	30726	11683	27	5	5908000	76
20220517 231140	-0.708428176261427	74224	19046	9	5	2604000	77
20220517 231154	-0.500398942672687	50329	16722	7	5	4697000	78
20220517 231206	-0.083897627719187	74813	21268	15	5	687000	79
20220517 231221	-0.187677288969957	49323	11020	14	5	5620000	80
20220517 231234	-0.300885013491186	73836	19186	22	5	2604000	81
20220517 231246	0.0364740437059123	53902	24313	25	5	0	82
20220517 231259	-0.360244308684523	68223	4302	22	5	5746000	83
20220517 231314	0.0817482108489409	15096	5086	4	5	0	84
20220517 231333	-0.644531929468855	18268	7143	25	5	5746000	85
