fecha	cp	minsplit	minbucket	maxdepth	xval_folds	ganancia	iteracion
20220517 190452	-0.610944355725951	2763	1321	9	5	8654000	1
20220517 190516	-0.179935333995672	6385	1977	18	5	7822000	2
20220517 190541	-0.750490126332443	7071	898	10	5	8154000	3
20220517 190611	-0.424919089989271	5523	533	15	5	8990000	4
20220517 190623	0.0934798986636451	3192	1033	19	5	0	5
20220517 190648	-0.529021552389895	6786	1733	14	5	7887000	6
20220517 190707	-0.974403229696327	3622	27	5	5	9044000	7
20220517 190727	-0.139410738434526	5114	1561	6	5	8474000	8
20220517 190751	-0.841956540310639	4080	1222	8	5	8707000	9
20220517 190817	-0.0515373645554064	7696	742	11	5	7996000	10
20220517 190849	-0.888922834095138	4725	438	20	5	9376000	11
20220517 190915	-0.545662068598904	7558	875	16	5	7996000	12
20220517 190928	0.099930389574729	3635	63	9	5	0	13
20220517 191000	-0.304576517809182	1978	751	20	5	10423000	14
20220517 191016	-0.563342607771046	6073	1625	4	5	7812000	15
20220517 191048	-0.136136070708744	4971	419	14	5	9376000	16
20220517 191118	-0.280909762700449	3618	97	10	5	9255000	17
20220517 191158	-0.357777807833177	686	342	20	5	9381000	18
20220517 191227	-0.306334915210668	7711	748	20	5	7996000	19
20220517 191302	-0.239966943121501	1354	668	20	5	9551000	20
20220517 191332	-0.316413239355315	2126	1060	12	5	10097000	21
20220517 191400	-0.984208000728619	6438	1551	20	5	7868000	22
20220517 191456	-0.813470393414727	3	1	19	5	8646000	23
20220517 191530	-0.298198031334645	1307	650	16	5	9644000	24
20220517 191601	-0.335079632803545	2494	1247	20	5	8576000	25
20220517 191642	-0.314551043519884	2367	71	20	5	9199000	26
20220517 191711	-0.272241262135854	3035	1140	20	5	9342000	27
20220517 191737	-0.240805466202466	4714	792	9	5	9213000	28
20220517 191752	-0.407875895259885	2047	710	3	5	8294000	29
20220517 191820	-0.190177174343195	2332	1	9	5	9581000	30
20220517 191842	-0.90840672418255	675	4	6	5	9582000	31
20220517 191856	-0.913876150568833	6821	1	3	5	8276000	32
20220517 191931	-0.936522961227806	1114	557	20	5	9807000	33
20220517 191948	-0.306024067397194	2964	821	4	5	9387000	34
20220517 192009	-0.162602410271091	7988	1	6	5	7990000	35
20220517 192043	-0.491120899816954	1062	528	20	5	10035000	36
20220517 192116	-0.480777479177614	1006	500	11	5	9901000	37
20220517 192158	-0.93597793374265	1367	5	14	5	9851000	38
20220517 192241	-0.570327626227231	4	2	13	5	9367000	39
20220517 192313	-0.305182860125297	1859	809	10	5	10724000	40
20220517 192345	-0.160868730904189	1697	841	10	5	9982000	41
20220517 192417	-0.927163070755292	1619	809	11	5	10110000	42
20220517 192454	-0.661447016800689	975	482	20	5	9710000	43
20220517 192509	-0.692916174597543	34	14	3	5	8135000	44
20220517 192542	-0.999602109722438	832	415	12	5	9479000	45
20220517 192609	-0.730024402999484	4007	2000	20	5	8561000	46
20220517 192638	-0.312493447856143	2130	719	10	5	10584000	47
20220517 192653	-0.942380636903341	3998	1997	3	5	7796000	48
20220517 192727	-0.885012808274296	1348	672	15	5	9494000	49
20220517 192815	-0.623490885603157	3971	1	20	5	9249000	50
20220517 192848	-0.436996428106658	1368	680	20	5	9509000	51
20220517 192917	-0.302790236183557	1598	798	9	5	9846000	52
20220517 192949	-0.299000691532606	1861	808	11	5	10724000	53
20220517 193021	-0.218467319944914	1998	736	12	5	10427000	54
20220517 193056	-0.572829208386206	1831	303	14	5	10252000	55
20220517 193126	-0.914297754573039	3005	249	10	5	9436000	56
20220517 193153	-0.297709320629418	3985	1992	10	5	8508000	57
20220517 193223	-0.99984307727936	2352	1023	20	5	9883000	58
20220517 193312	-0.999877399059883	3183	1	20	5	9688000	59
20220517 193348	-0.571461708128943	911	447	18	5	9544000	60
20220517 193421	-0.659545858531853	1865	518	13	5	10554000	61
20220517 193456	-0.689375292154905	2744	238	14	5	9484000	62
20220517 193530	-0.611326912745861	1460	715	13	5	9738000	63
20220517 193602	-0.308642816593718	1904	494	12	5	10519000	64
20220517 193634	-0.715806832269125	1966	863	20	5	10487000	65
20220517 193701	-0.7446159642327	1908	892	9	5	10366000	66
20220517 193728	-0.274524956299837	1989	733	8	5	10391000	67
