fecha	num.trees	max.depth	min.node.size	mtry	xval_folds	ganancia	iteracion
20220524 230611	1695	15	4647	34	5	11289000	1
20220524 232806	2190	14	3185	21	5	11496000	2
20220524 232914	617	9	934	2	5	9838000	3
20220524 234535	1388	4	2496	79	5	10026000	4
20220525 001353	902	21	1677	52	5	10968000	5
20220525 010103	1771	11	4787	70	5	10625000	6
20220525 012311	733	12	2515	68	5	10690000	7
20220525 013458	1011	25	380	19	5	11050000	8
20220525 013636	145	3	1386	92	5	9433000	9
20220525 022905	1953	17	1895	48	5	11335000	10
20220525 023921	2463	7	3832	13	5	11146000	11
20220525 040836	1495	24	2973	100	5	10411000	12
20220525 041553	264	18	68	45	5	10181000	13
20220525 044600	2176	6	1033	59	5	10378000	14
20220525 044713	323	1	4365	83	5	7969000	15
20220525 050523	1232	19	3591	29	5	11408000	16
20220525 051157	2500	21	3955	4	5	10917000	17
20220525 053346	1649	16	2869	26	5	11723000	18
20220525 053713	1601	17	2719	2	5	10440000	19
20220525 060804	1856	25	2601	30	5	11504000	20
20220525 063610	1683	15	2633	33	5	11444000	21
20220525 075101	1859	25	2502	67	5	10706000	22
20220525 080935	1637	25	3470	22	5	11322000	23
20220525 082016	1916	5	883	26	5	10874000	24
20220525 084754	1905	19	2087	26	5	11391000	25
20220525 090453	1933	8	3298	27	5	11279000	26
20220525 100439	2500	22	3647	45	5	11126000	27
20220525 102659	1755	16	3512	26	5	11331000	28
20220525 104010	1042	17	2759	24	5	11503000	29
20220525 111553	1410	20	2966	46	5	11321000	30
20220525 113725	1460	22	2836	27	5	11533000	31
20220525 115440	1718	13	2747	21	5	11575000	32
20220525 122728	2489	18	2819	25	5	11590000	33
20220525 123617	846	17	4731	22	5	11281000	34
20220525 130557	1254	25	5000	47	5	10635000	35
20220525 133024	2500	18	4957	21	5	11240000	36
20220525 135601	1972	17	2884	25	5	11593000	37
20220525 142136	1792	15	2782	29	5	11562000	38
20220525 142327	1211	1	4553	25	5	4233000	39
20220525 144237	2500	10	2813	19	5	11334000	40
20220525 145142	231	18	5000	80	5	10742000	41
20220525 150457	2499	7	2189	17	5	11120000	42
20220525 152456	2479	12	4999	20	5	11276000	43
20220525 154803	1968	12	9	24	5	10785000	44
20220525 154938	106	21	4996	27	5	11251000	45
20220525 162137	2500	24	1711	23	5	11641000	46
20220525 182933	2500	16	2442	100	5	10348000	47
20220525 190139	2500	16	1836	25	5	11740000	48
20220525 190153	2	13	4991	26	5	10788000	49
20220525 193127	2293	16	2621	26	5	11527000	50
20220525 200711	2500	16	1220	27	5	11421000	51
20220525 200727	3	25	1798	26	5	9320000	52
20220525 205428	2498	25	1	31	5	9099000	53
20220525 211319	1452	16	1550	25	5	11817000	54
20220525 213955	2499	24	2926	21	5	11796000	55
20220525 215927	1635	13	1602	25	5	11476000	56
20220525 221551	1366	21	5000	26	5	11111000	57
20220525 223305	1542	24	1556	20	5	11511000	58
20220525 224905	1277	16	724	23	5	11546000	59
20220525 235147	1114	17	787	100	5	9985000	60
20220526 005448	2500	7	3699	100	5	10047000	61
