fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	ganancia	iteracion
20220605 234420	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	36	TRUE	999983	0.151901381306583	0.619410483157262	5170	135	0.0451017896120902	8805000	1
20220605 234435	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	23	TRUE	999983	0.180098855339689	0.587281889338046	771	502	0.0310869299079059	9454000	2
20220605 234448	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	71	TRUE	999983	0.139630788899725	0.802808788437396	4125	669	0.0407997648964132	8641000	3
20220605 234541	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	449	TRUE	999983	0.0161137594747124	0.927282247226685	4425	765	0.0314076547986285	11552000	4
20220605 234551	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	24	TRUE	999983	0.236490177537664	0.686046139691025	2011	981	0.0388403578079306	9129000	5
20220605 234614	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	47	TRUE	999983	0.122791214828845	0.538663114644587	7018	217	0.0364140657800211	10474000	6
20220605 234626	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	23	TRUE	999983	0.16361991640809	0.652561687920243	1577	464	0.0209797919339811	11524000	7
20220605 234637	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	23	TRUE	999983	0.192281282315031	0.486608095392585	5993	871	0.042752235311491	9053000	8
20220605 234654	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	62	TRUE	999983	0.076231850871467	0.983491065045819	1613	322	0.0285537628578216	11394000	9
20220605 234702	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	23	TRUE	999983	0.28127249437978	0.211549867158756	7759	541	0.0163442976316825	13049000	10
20220605 234717	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	48	TRUE	999983	0.0887549562191125	0.384109919881448	5356	617	0.0126846214969798	12967000	11
20220605 234747	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	138	TRUE	999983	0.0406814144611126	0.445438452204689	3858	29	0.017780144920592	13509000	12
20220605 234757	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	11	TRUE	999983	0.249664142501424	0.35340142801404	1129	68	0.0107028156072677	11490000	13
20220605 234808	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	37	TRUE	999983	0.22177919864899	0.274183005057275	3580	258	0.0498705688636013	7962000	14
20220605 234817	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	12	TRUE	999983	0.292153337964788	0.308115688636899	2408	697	0.0203930671341368	11416000	15
20220605 234839	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	163	TRUE	999983	0.035449965307489	0.917916693808511	6377	375	0.0461814290727489	8404000	16
20220605 234901	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1	TRUE	999983	0.206721027827007	0.86846025810577	82	808	0.0270705314556835	5515000	17
20220605 234914	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	104	TRUE	999983	0.0989593965470558	0.795828175032511	7230	934	0.0100150467890974	11990000	18
20220605 234922	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	34	TRUE	999983	0.258609835138544	0.744739553062245	6495	290	0.0234694743305833	12267000	19
20220605 234950	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	140	TRUE	999983	0.0573898878245382	0.43513164809905	2994	916	0.0337888582367062	11238000	20
20220605 235011	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	117	TRUE	999983	0.0591176952484298	0.269475887501552	5463	328	0.0195235820524984	13105000	21
20220605 235156	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	457	TRUE	999983	0.0101367919335826	0.502381767142867	2893	265	0.0175128632274206	13511000	22
20220605 235339	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	945	TRUE	999983	0.0113781616706723	0.260165733614447	2383	16	0.0229396682863298	13097000	23
20220605 235511	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	910	TRUE	999983	0.0100012662186055	0.99539351499018	4650	72	0.0154671276348447	13082000	24
20220605 235658	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	761	TRUE	999983	0.0104166236357381	0.606762671442587	3898	237	0.020432374963247	13310000	25
20220605 235708	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	44	TRUE	999983	0.275705354736757	0.206458672737507	6836	16	0.00849228562398722	11208000	26
20220605 235725	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	46	TRUE	999983	0.100145442390681	0.50015610534006	3003	44	0.0176074628177289	13021000	27
20220605 235908	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	628	TRUE	999983	0.0100592671343709	0.239168422506028	3810	419	0.0154370986394214	13556000	28
20220606 000048	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	485	TRUE	999983	0.010017030305989	0.40829799396426	4335	186	0.0158516150590525	13522000	29
20220606 000217	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	644	TRUE	999983	0.0102834399073342	0.237218657525198	7999	741	0.0190339083584762	13367000	30
20220606 000443	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1401	TRUE	999983	0.0100579254251854	0.238025663562691	5221	1016	0.0177345020193493	13533000	31
20220606 000453	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	29	TRUE	999983	0.192402505021203	0.200380492930517	7990	1023	0.0204645165813375	13004000	32
20220606 000706	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	982	TRUE	999983	0.0100635582543975	0.393709955003526	4600	602	0.0175816929760016	13591000	33
20220606 000904	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	938	TRUE	999983	0.0106329674029169	0.221379872217046	6452	833	0.0174731508740464	13651000	34
20220606 001115	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	981	TRUE	999983	0.0100009079514329	0.421515126566936	6493	1023	0.0191945182461836	13503000	35
20220606 001256	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	569	TRUE	999983	0.0100111608697186	0.484483026459607	2021	22	0.0148229071431305	13592000	36
20220606 001503	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	953	TRUE	999983	0.0100142365903691	0.239783140869606	2042	397	0.0153074179874068	13302000	37
20220606 001646	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	709	TRUE	999983	0.0100641788302434	0.357853598772635	5822	783	0.0178495318293201	13513000	38
20220606 001740	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	44	TRUE	999983	0.0101909496106907	0.517509912965219	2518	17	0.00836975323775944	11620000	39
20220606 001846	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	510	TRUE	999983	0.0185182200159087	0.247781634373348	7408	931	0.0159348473977598	13218000	40
20220606 002015	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	646	TRUE	999983	0.0101735345681021	0.22180858939515	6454	958	0.0214690129791998	13216000	41
20220606 002154	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	818	TRUE	999983	0.0101388848797558	0.236454585945561	2464	19	0.0171754216529469	13627000	42
20220606 002302	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	465	TRUE	999983	0.0106497602631547	0.615370672100746	6603	499	0.0172469545833925	13319000	43
20220606 002424	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	623	TRUE	999983	0.010483317778508	0.201855105245685	5972	620	0.0181338968297377	13349000	44
20220606 002601	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	585	TRUE	999983	0.0100258511820103	0.415350627526397	4141	17	0.0294903837881351	11995000	45
20220606 002626	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	125	TRUE	999983	0.0373709927866001	0.20047745045346	4243	836	0.0172347462614252	13302000	46
20220606 002758	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	549	TRUE	999983	0.0104265021581419	0.591094295183819	4213	431	0.0170782646825326	13602000	47
20220606 002812	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	20	TRUE	999983	0.298258206735055	0.214438156098916	6600	964	0.0172981908273376	12669000	48
20220606 003000	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	559	TRUE	999983	0.0100904606403769	0.526123810410632	3954	518	0.0148029556394544	13780000	49
