fecha	gamma	alpha	lambda	subsample	tree_method	grow_policy	max_bin	max_leaves	scale_pos_weight	eta	colsample_bytree	min_child_weight	max_depth	prob_corte	nrounds	ganancia	iteracion
20220606 003022	0	0	0	1	auto	depthwise	256	0	1	0.224905085520819	0.757308281967416	9	23	0.02902684307046	8	9395000	1
20220606 003359	0	0	0	1	auto	depthwise	256	0	1	0.192473361125099	0.583509504133835	6	6	0.0322511579201091	66	9194000	2
20220606 004512	0	0	0	1	auto	depthwise	256	0	1	0.07721948776301	0.815465885223821	7	27	0.0388537233045402	37	8696000	3
20220606 005202	0	0	0	1	auto	depthwise	256	0	1	0.0523167310657445	0.487734065754339	5	10	0.0292764258338139	74	11082000	4
20220606 005523	0	0	0	1	auto	depthwise	256	0	1	0.199952479540487	0.448876075241715	3	14	0.0371085491598933	11	7449000	5
20220606 010042	0	0	0	1	auto	depthwise	256	0	1	0.102314410115709	0.41377852785401	7	25	0.0153634686862157	31	11980000	6
20220606 010758	0	0	0	1	auto	depthwise	256	0	1	0.166983552225167	0.781020595952868	2	19	0.0182101305098816	15	9377000	7
20220606 011202	0	0	0	1	auto	depthwise	256	0	1	0.183422943427344	0.711548970090225	1	10	0.024442028348858	7	7292000	8
20220606 011450	0	0	0	1	auto	depthwise	256	0	1	0.260925594650093	0.374799119615927	8	28	0.0217659902521215	11	10484000	9
20220606 011713	0	0	0	1	auto	depthwise	256	0	1	0.135458292917232	0.323138729603961	5	8	0.0202220906910952	33	11829000	10
20220606 012333	0	0	0	1	auto	depthwise	256	0	1	0.117364492975292	0.887210150687024	10	12	0.0429082637138587	28	8357000	11
20220606 013150	0	0	0	1	auto	depthwise	256	0	1	0.010515275298967	0.270782115133479	8	2	0.00871126767694174	951	11438000	12
20220606 014420	0	0	0	1	auto	depthwise	256	0	1	0.0954845638362458	0.998177328808233	2	19	0.0334888271419914	28	8400000	13
20220606 014822	0	0	0	1	auto	depthwise	256	0	1	0.0657776195519836	0.627843436012045	0	5	0.0125078889109621	46	12054000	14
20220606 015348	0	0	0	1	auto	depthwise	256	0	1	0.272733542607864	0.93894711653702	9	25	0.0466365325817606	9	7462000	15
20220606 021024	0	0	0	1	auto	depthwise	256	0	1	0.03223027516203	0.544180453661829	4	29	0.0440959690337574	69	7639000	16
20220606 021537	0	0	0	1	auto	depthwise	256	0	1	0.252108296145685	0.876906979810447	0	15	0.0492677306067587	3	3231000	17
20220606 021819	0	0	0	1	auto	depthwise	256	0	1	0.238967099304544	0.305664741955698	2	22	0.0116405011887158	4	8408000	18
20220606 021920	0	0	0	1	auto	depthwise	256	0	1	0.289765556435217	0.23461171111092	4	4	0.0411794617432558	37	8590000	19
20220606 022431	0	0	0	1	auto	depthwise	256	0	1	0.146042043061461	0.655386792095378	8	17	0.0258447497690213	18	10081000	20
20220606 022825	0	0	0	1	auto	depthwise	256	0	1	0.0624885271203419	0.399325105847451	4	5	0.0105710686534619	109	13004000	21
20220606 023543	0	0	0	1	auto	depthwise	256	0	1	0.0452574254534207	0.915590245434842	4	7	0.00835615114037722	19	12052000	22
20220606 023705	0	0	0	1	auto	depthwise	256	0	1	0.0645530152896709	0.200090483432347	4	2	0.014534228945356	126	13098000	23
20220606 024248	0	0	0	1	auto	depthwise	256	0	1	0.0501699318115212	0.200318596856398	3	12	0.0100131405460265	148	12626000	24
20220606 024426	0	0	0	1	auto	depthwise	256	0	1	0.0807414718701602	0.201655129756983	5	2	0.0118563896888677	216	12904000	25
20220606 025211	0	0	0	1	auto	depthwise	256	0	1	0.0163174041502935	0.367422871347731	3	2	0.0136946331947083	768	13110000	26
20220606 025426	0	0	0	1	auto	depthwise	256	0	1	0.0476804479555032	0.349680080765313	4	2	0.0142622623784199	159	13027000	27
20220606 025850	0	0	0	1	auto	depthwise	256	0	1	0.0102392133469495	0.36751159440773	2	2	0.0083669344964111	83	11175000	28
20220606 031957	0	0	0	1	auto	depthwise	256	0	1	0.0114720032676286	0.458809360094651	3	10	0.0156299638693032	194	13470000	29
20220606 034540	0	0	0	1	auto	depthwise	256	0	1	0.0101528088250896	0.202768579008266	4	10	0.0171929639071581	985	13173000	30
20220606 035010	0	0	0	1	auto	depthwise	256	0	1	0.0685473994493284	0.404125825741641	3	9	0.0138130863406743	45	12677000	31
20220606 044017	0	0	0	1	auto	depthwise	256	0	1	0.0100092808634317	0.612096323759757	3	23	0.0147865980851296	227	12420000	32
20220606 045916	0	0	0	1	auto	depthwise	256	0	1	0.0102132147171904	0.57110837621005	3	6	0.0181725101824237	242	13060000	33
20220606 051827	0	0	0	1	auto	depthwise	256	0	1	0.0101644308362876	0.514464693871234	5	7	0.0150149757958077	233	13432000	34
20220606 053959	0	0	0	1	auto	depthwise	256	0	1	0.0100857298706775	0.475827493782845	4	9	0.0130666517383021	192	13400000	35
20220606 060206	0	0	0	1	auto	depthwise	256	0	1	0.0100213180580482	0.478892125036579	6	12	0.0107218427686168	118	12866000	36
20220606 063241	0	0	0	1	auto	depthwise	256	0	1	0.0100472529848992	0.827495920258498	4	7	0.015632205832926	279	13087000	37
20220606 063505	0	0	0	1	auto	depthwise	256	0	1	0.0693135305096151	0.201740190722415	10	6	0.01611600292735	90	12891000	38
20220606 063755	0	0	0	1	auto	depthwise	256	0	1	0.127185367396492	0.53001556220528	10	7	0.0103644750759215	26	12134000	39
20220606 064629	0	0	0	1	auto	depthwise	256	0	1	0.0182259655173395	0.364964137593924	4	7	0.0152579419962743	121	13533000	40
20220606 070620	0	0	0	1	auto	depthwise	256	0	1	0.0125480428538264	0.460568088095373	4	7	0.0155321878120787	417	13439000	41
20220606 071918	0	0	0	1	auto	depthwise	256	0	1	0.0215007214098179	0.470859480434338	5	10	0.0143031383491908	145	13383000	42
20220606 072906	0	0	0	1	auto	depthwise	256	0	1	0.016795197489556	0.227988365850522	3	6	0.0148772730329611	426	1.3e+07	43
20220606 075004	0	0	0	1	auto	depthwise	256	0	1	0.0100098305118848	0.374242708769371	5	11	0.01576934584759	223	13319000	44
20220606 080643	0	0	0	1	auto	depthwise	256	0	1	0.0172684559836306	0.351162468268214	0	13	0.0173973653712795	132	6301000	45
20220606 141749	0	0	0	1	auto	depthwise	256	0	1	0.0100298311701396	0.904724049959879	3	12	0.014238534535043	270	13036000	46
