fecha	gamma	alpha	lambda	subsample	tree_method	grow_policy	max_bin	max_depth	scale_pos_weight	eta	colsample_bytree	min_child_weight	max_leaves	prob_corte	nrounds	ganancia	iteracion
20220606 175644	0	0	0	1	hist	lossguide	256	0	1	0.0914559316056548	0.543284895773977	9	581	0.0267013037785849	44	10814000	1
20220606 175710	0	0	0	1	hist	lossguide	256	0	1	0.245398665038636	0.427798349643126	7	888	0.0345847300666113	6	8430000	2
20220606 175745	0	0	0	1	hist	lossguide	256	0	1	0.198141822063946	0.702153436299414	6	792	0.0223663865326671	10	10198000	3
20220606 175851	0	0	0	1	hist	lossguide	256	0	1	0.0475617531398311	0.940296727847308	5	220	0.014190691060018	28	12758000	4
20220606 175920	0	0	0	1	hist	lossguide	256	0	1	0.177447289374773	0.591530721494928	8	62	0.0248836226509108	14	9874000	5
20220606 180012	0	0	0	1	hist	lossguide	256	0	1	0.104966936126351	0.743066971097142	1	465	0.0368262445006015	9	5477000	6
20220606 180105	0	0	0	1	hist	lossguide	256	0	1	0.0699607372890459	0.638132106689736	6	401	0.0167554480712473	44	12347000	7
20220606 180131	0	0	0	1	hist	lossguide	256	0	1	0.219519280038308	0.508112671943381	10	625	0.0423694511681485	15	8176000	8
20220606 195241	0	0	0	1	hist	lossguide	256	0	1	0.237162231787923	0.731160674924031	10	154	0.0396723242112785	14	7949000	9
20220606 195315	0	0	0	1	hist	lossguide	256	0	1	0.206163358749356	0.506790177328512	2	653	0.0170580483119314	2	8237000	10
20220606 195413	0	0	0	1	hist	lossguide	256	0	1	0.0957725659069838	0.596429547090083	2	787	0.0208155946878833	19	9338000	11
20220606 195505	0	0	0	1	hist	lossguide	256	0	1	0.0767567699929932	0.886655072355643	5	604	0.0320321607917625	34	9290000	12
20220606 195530	0	0	0	1	hist	lossguide	256	0	1	0.297072711177752	0.627459253184497	9	212	0.0422912932558878	10	7478000	13
20220606 195638	0	0	0	1	hist	lossguide	256	0	1	0.067769384842366	0.921173905832693	1	465	0.0213531616333057	14	7533000	14
20220606 195810	0	0	0	1	hist	lossguide	256	0	1	0.035555628537084	0.668098619719967	5	740	0.0475337700462357	96	7122000	15
20220606 195840	0	0	0	1	hist	lossguide	256	0	1	0.150550035623717	0.457538647335023	7	431	0.0138653167557398	13	12203000	16
20220606 195909	0	0	0	1	hist	lossguide	256	0	1	0.266134160576854	0.859006072459742	4	361	0.0359651113438304	7	7904000	17
20220606 195933	0	0	0	1	hist	lossguide	256	0	1	0.273394868572475	0.380316276848316	7	520	0.0307284790615086	5	9138000	18
20220606 200004	0	0	0	1	hist	lossguide	256	0	1	0.214366133952164	0.712728441748768	3	911	0.0148134801046884	7	10170000	19
20220606 200046	0	0	0	1	hist	lossguide	256	0	1	0.116790188992862	0.222663796525449	4	272	0.0494462342370146	28	6042000	20
20220606 200119	0	0	0	1	hist	lossguide	256	0	1	0.12894868103601	0.303220726372674	6	1014	0.00891307130999242	11	11346000	21
20220606 200142	0	0	0	1	hist	lossguide	256	0	1	0.10933140115696	0.7634479587432	1	5	0.0453273577581664	44	8291000	22
20220606 200247	0	0	0	1	hist	lossguide	256	0	1	0.0454156318851747	0.435393881211057	8	846	0.0344540517112667	70	9351000	23
20220606 200310	0	0	0	1	hist	lossguide	256	0	1	0.246420170271886	0.541895545730367	0	341	0.0233222711491787	1	1211000	24
20220606 201123	0	0	0	1	hist	lossguide	256	0	1	0.0214891233382514	0.333922108896077	0	671	0.0276251185782409	180	466000	25
20220606 201157	0	0	0	1	hist	lossguide	256	0	1	0.171007293857168	0.98038220660761	9	188	0.011645652493462	30	11986000	26
20220606 201227	0	0	0	1	hist	lossguide	256	0	1	0.167980699872482	0.251637026024982	10	85	0.0255476129120022	20	11487000	27
20220606 201258	0	0	0	1	hist	lossguide	256	0	1	0.187814639587654	0.824958598595113	6	938	0.0383557065482213	11	7865000	28
20220606 201342	0	0	0	1	hist	lossguide	256	0	1	0.0881048091097287	0.223082153689323	9	235	0.00834682793637432	21	11428000	29
20220606 201431	0	0	0	1	hist	lossguide	256	0	1	0.0614946553532954	0.999530212117458	7	571	0.00851108016510578	15	11919000	30
20220606 201509	0	0	0	1	hist	lossguide	256	0	1	0.121983560422562	0.682862892045558	8	2	0.0151218127697885	201	13021000	31
20220606 201629	0	0	0	1	hist	lossguide	256	0	1	0.037444178558249	0.748402733756008	6	2	0.0117724974964388	494	12181000	32
20220606 201915	0	0	0	1	hist	lossguide	256	0	1	0.0102375765845899	0.827866609851597	8	7	0.0181225434240908	489	13210000	33
