Feature	Gain	Cover	Frequency
ctrx_quarter	0.160561211564557	0.0431475316310965	0.0315171337248197
mpasivos_margen	0.120841774823982	0.0290120448289838	0.0274288262841002
cpayroll_trx	0.0976878475015387	0.0353432589141383	0.011075596521222
mpayroll	0.0674835356560961	0.065653944238036	0.0248271760945514
mtarjeta_visa_consumo	0.0460889109622084	0.0266773871916467	0.0304764736490002
mcaja_ahorro	0.0321796200207281	0.0140994628272445	0.0214821972794172
mprestamos_personales	0.0302906260826433	0.0363858735231079	0.0155355682747343
ctarjeta_visa_trx	0.0283855198158846	0.0127271616685499	0.016055898312644
mcuentas_saldo	0.0276455275977117	0.0340933452786909	0.0311454694120271
Visa_msaldopesos	0.0263650356613547	0.0258882237495613	0.0251245075447856
mrentabilidad_annual	0.0253027008654172	0.0249989254263392	0.0327064595257563
mactivos_margen	0.0224832274911017	0.0226914389076948	0.0218538615922099
Visa_msaldototal	0.0194626760573376	0.0157455799354048	0.019103545677544
Master_fechaalta	0.0163718659994257	0.0317948140426431	0.0376124284546198
cliente_edad	0.0124647397914887	0.0295925536007806	0.0357541068906564
chomebanking_trx	0.0124167027284595	0.0181027814272267	0.0235635174310563
Visa_fechaalta	0.0104825068492821	0.0121359965322189	0.0213335315543002
Master_Fvencimiento	0.0104374108047289	0.0195029586393957	0.0243811789192002
Visa_Fvencimiento	0.0101645562524506	0.012888913071343	0.0222255259050026
mcaja_ahorro_dolares	0.010067533864853	0.0271922647277455	0.028097822047127
ctarjeta_visa_trx2	0.00992303611233305	0.00965221606732261	0.0112242622463391
numero_de_cliente	0.00970607809674962	0.0122140956742547	0.0215565301419758
ccomisiones_otras	0.00930064492973897	0.0161656065886876	0.0155355682747343
mcomisiones_otras	0.00875410381459307	0.0108014244470523	0.0169478926633465
mcuenta_corriente	0.00846964297731112	0.0103418049610466	0.0146435739240318
Visa_mpagominimo	0.00831234014064508	0.0144107608218103	0.0195495428528953
mrentabilidad	0.00752984596891339	0.0118516848871153	0.0167992269382294
mcomisiones	0.0069956250161811	0.0081981364488714	0.0133055823979781
Master_mfinanciacion_limite	0.00670925338627931	0.00857568827110752	0.0157585668624099
Visa_mconsumospesos	0.0065916992164223	0.00954002097717208	0.0159072325875269
Visa_mpagospesos	0.00621525359899286	0.0119345317950309	0.0158328997249684
cliente_antiguedad	0.00619825861222624	0.0062346581036786	0.0125622537723928
mtransferencias_recibidas	0.00613981552420993	0.009273611863817	0.0140489110235635
Visa_mfinanciacion_limite	0.00581555837805738	0.00989829253187554	0.0145692410614733
cproductos	0.00537458259373047	0.00836710590182204	0.00958893927005129
Master_mlimitecompra	0.00529823636598648	0.00686430745734921	0.0118932580093659
ccaja_ahorro	0.00502331209311292	0.0244743555390829	0.00795361629376347
mpagomiscuentas	0.00496360695784568	0.0165849363406336	0.00929160781981714
ctarjeta_debito_trx	0.00469694795716517	0.0209395956408135	0.0237121831561733
ctransferencias_recibidas	0.00468621000091051	0.0133217149102274	0.00877127778190738
Master_mpagospesos	0.00456048977658224	0.0171291078332148	0.00966327213260983
mautoservicio	0.00410431563091459	0.0144688386110301	0.0208132015163904
mtransferencias_emitidas	0.00399869457107747	0.00619658560038518	0.0114472608340147
Visa_mlimitecompra	0.00399535564575847	0.00834628120452556	0.00966327213260983
mcomisiones_mantenimiento	0.00392469459691508	0.00533031916341987	0.00758195198097079
cprestamos_personales	0.00374486031026619	0.00232902418416743	0.00185832156396343
mtarjeta_visa_debitos_automaticos	0.00364986306664157	0.00604246195343469	0.00891994350702445
Master_msaldopesos	0.00287775492706501	0.00602203290329487	0.00527763324165614
thomebanking	0.00271554080273994	0.00354572956715105	0.00438563889095369
Visa_mconsumototal	0.00258841099869825	0.00412549524530327	0.00735895339329518
Visa_cconsumos	0.00255957761888268	0.00490865971248036	0.00929160781981714
mcuenta_debitos_automaticos	0.00243208497790695	0.00584125629484166	0.0057979632795659
Master_msaldototal	0.0024307376964835	0.00476461402203809	0.00505463465398053
ccaja_seguridad	0.00240958361163896	0.0131428482532767	0.00408830744071954
ccallcenter_trx	0.00239133471909426	0.0122451469467883	0.00453430461607077
mplazo_fijo_dolares	0.00237842295530395	0.0182811419771547	0.00431130602839515
ctarjeta_debito	0.00223791380668139	0.00743114330608733	0.00743328625585371
Visa_mpagado	0.00167096536892737	0.00572847074649794	0.00512896751653906
ccomisiones_mantenimiento	0.00137070955956488	0.000965240485327554	0.00237865160187319
ccuenta_debitos_automaticos	0.00136070489351029	0.00415523907469481	0.00312198022745856
cpagomiscuentas	0.00131277121987102	0.00429469365143086	0.00393964171560247
