Feature	Gain	Cover	Frequency
ctrx_quarter	0.197069613686329	0.0324568405723131	0.0224712145598613
mpasivos_margen	0.0962421744622653	0.0254767899639454	0.0287854401386653
cpayroll_trx	0.0853831324093675	0.0307321191026012	0.00897610498947629
mpayroll	0.0620020538720098	0.0509119983219543	0.018633155874706
mtarjeta_visa_consumo	0.0526121815323454	0.0223514547566631	0.018076018323635
mcaja_ahorro	0.0489734443714368	0.0172383021244748	0.023523585489662
mcuentas_saldo	0.0402550730241909	0.0338914510426405	0.0373901200940943
mactivos_margen	0.0323643770907454	0.0333256760086686	0.0320044571004086
mprestamos_personales	0.0304333834629107	0.0303000257251304	0.0139284387767736
ctarjeta_visa_trx	0.0261774913990133	0.0165030790130556	0.0196855268045066
Visa_msaldopesos	0.0233496665775022	0.023929491434912	0.0207378977343073
mrentabilidad_annual	0.0215491585946199	0.0199565206504741	0.0337377739259626
Visa_msaldototal	0.0180394610957926	0.010744350715911	0.014918905534233
Master_fechaalta	0.012766253349139	0.0305961893701143	0.030394948619537
cliente_edad	0.0118053721514131	0.0235951156980366	0.0295901943791012
Visa_mpagominimo	0.0115554283653467	0.0149517211209082	0.0172712640831992
mcuenta_corriente	0.0108292558517454	0.0138429863376224	0.0190664850810945
Visa_fechaalta	0.00890775885547651	0.0127003310863008	0.0211712269406958
chomebanking_trx	0.00888100649063895	0.0166719065729988	0.022099789525814
mrentabilidad	0.0088254048921789	0.0139317896722848	0.0199331434938715
thomebanking	0.00778262283562779	0.00675739922144882	0.00909991333415872
cproductos	0.00768033852833022	0.0130097197272536	0.0130617803639965
mcomisiones_otras	0.0073798522668661	0.0107406709431138	0.0176426891172465
Master_Fvencimiento	0.00680837178264562	0.016492051827688	0.0204283768726012
mcomisiones	0.00672920847798793	0.010574216255973	0.0167141265321283
ccomisiones_otras	0.0063249924386247	0.0240155267068533	0.0203045685279188
cprestamos_personales	0.00614819043561598	0.00643772697615993	0.00297140027237836
cliente_antiguedad	0.00601347600348718	0.0116326891214203	0.0170236473938343
Visa_Fvencimiento	0.00553527227443995	0.00961889489250552	0.0170855515661756
mcaja_ahorro_dolares	0.00537959154417769	0.0214286238977092	0.0219759811811316
numero_de_cliente	0.00536701403687979	0.0103931932737969	0.0188188683917296
mtransferencias_recibidas	0.0047796054451497	0.00827115687276331	0.0157236597746688
mdescubierto_preacordado	0.0047149499814489	0.0152702944608964	0.00513804630432091
ccaja_ahorro	0.00468154679551657	0.0287701779509352	0.0102760926086418
ccallcenter_trx	0.00466743301028751	0.0142985883153982	0.00538566299368578
