cp minsplit minbucket maxdepth ganancia_promedio
1e-04 850 1 6 8780000 
1e-04 850 2 6 3230000 
1e-04 850 3 6 1254000 
1e-04 850 4 6 1254000 
1e-04 850 5 6 0 
1e-04 850 6 6 1576667 
1e-04 850 7 6 0 
1e-04 850 8 6 0 
1e-04 850 9 6 0 
1e-04 850 10 6 0 
1e-04 850 11 6 0 
1e-04 850 12 6 0 
1e-04 850 13 6 0 
1e-04 850 14 6 0 
1e-04 850 15 6 0 
1e-04 850 16 6 0 
1e-04 850 17 6 0 
1e-04 850 18 6 0 
1e-04 850 19 6 0 
1e-04 850 20 6 0 
1e-04 850 21 6 0 
1e-04 850 22 6 0 
1e-04 850 23 6 0 
1e-04 850 24 6 0 
1e-04 850 25 6 0 
1e-04 850 26 6 0 
1e-04 850 27 6 0 
1e-04 850 28 6 0 
1e-04 850 29 6 0 
1e-04 850 30 6 0 
1e-04 850 31 6 0 
1e-04 850 335 6 0 
-1e-04 850 335 6 11090667 
-1 10 5 4 9268000 
-1 10 5 5 9954000 
-1 10 5 6 10358000 
-1 20 5 4 9260667 
-1 20 5 5 9981333 
-1 20 5 6 10379333 
-1 20 6 4 8980667 
-1 20 6 5 9959333 
-1 20 6 6 10180000 
-1 20 7 4 8969333 
-1 20 7 5 9954000 
-1 20 7 6 10251333 
-1 20 8 4 8955333 
-1 20 8 5 9901333 
-1 20 8 6 10188000 
-1 20 9 4 8898000 
-1 20 9 5 9999333 
-1 20 9 6 10198667 
-1 20 10 4 8952667 
-1 20 10 5 10049333 
-1 20 10 6 10136000 
-1 50 5 4 9260667 
-1 50 5 5 10014000 
-1 50 5 6 10406000 
-1 50 7 4 8969333 
-1 50 7 5 9982667 
-1 50 7 6 10268667 
-1 50 9 4 8935333 
-1 50 9 5 10028667 
-1 50 9 6 10258000 
-1 50 11 4 8989333 
-1 50 11 5 10067333 
-1 50 11 6 10261333 
-1 50 13 4 9258667 
-1 50 13 5 10058667 
-1 50 13 6 10024667 
-1 50 15 4 9257333 
-1 50 15 5 10212667 
-1 50 15 6 10148667 
-1 50 17 4 9349333 
-1 50 17 5 10270667 
-1 50 17 6 10258000 
-1 50 19 4 9345333 
-1 50 19 5 10336667 
-1 50 19 6 10312000 
-1 50 21 4 9330000 
-1 50 21 5 10316667 
-1 50 21 6 10245333 
-1 50 23 4 9323333 
-1 50 23 5 10157333 
-1 50 23 6 10044000 
